"Allan Elder",,,,
"Barney Fitzpatrick",,,,
"Chris McCaw","Q76130654","2019 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Clare Gallen",,,,
"Dermot Nicholl","Q76119875","2019 United Kingdom general election","East Londonderry","Sinn Féin"
"Francie Donnelly",,,,
"James Holmes",,,,
"John Davey",,,,
"Lesley Macaulay",,,,
"Liz St Clair-Legge",,,,
"Malachy O'Kane",,,,
"Malcolm Harry Samuel",,,,
"Malcolm Samuel",,,,
"Martha McGrath",,,,
"Neil Paine",,,,
"Patrick McGowan",,,,
"Pauline Davey-Kennedy",,,,
"Richard Holmes","Q76119868","2019 United Kingdom general election","East Londonderry","Ulster Unionist Party"
"Seán McNicholl","Q76119971","2019 United Kingdom general election","East Londonderry","Aontú"
"Stephanie Quigley",,,,
"Thomas Conway",,,,
"William McCandless",,,,
"Yvonne Boyle",,,,
