id,name,party,partyLabel,votes,election,electionLabel,ranking
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,15765,Q30173038,General election 2019,1
Q76130874,Cara Hunter,Q175443,Social Democratic and Labour Party,6158,Q30173038,General election 2019,2
,Dermot Nicholl,Q76382,Sinn Féin,6128,Q30173038,General election 2019,3
,Chris McCaw,Q244927,Alliance Party of Northern Ireland,5921,Q30173038,General election 2019,4
,Richard Holmes,Q841045,Ulster Unionist Party,3599,Q30173038,General election 2019,5
,Seán McNicholl,Q61090509,Aontú,1731,Q30173038,General election 2019,6
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,19723,Q25052149,General election 2017,1
,Dermot Nicholl,Q76382,Sinn Féin,10881,Q25052149,General election 2017,2
,Stephanie Quigley,Q175443,Social Democratic and Labour Party,4423,Q25052149,General election 2017,3
,Richard Holmes,Q841045,Ulster Unionist Party,3135,Q25052149,General election 2017,4
,Chris McCaw,Q244927,Alliance Party of Northern Ireland,2538,Q25052149,General election 2017,5
,Liz St Clair-Legge,Q7058484,Northern Ireland Conservatives,330,Q25052149,General election 2017,6
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,14663,Q3586935,General election 2015,1
Q24052784,Caoimhe Archibald,Q76382,Sinn Féin,6859,Q3586935,General election 2015,2
,William McCandless,Q841045,Ulster Unionist Party,5333,Q3586935,General election 2015,3
Q24088043,Gerry Mullan,Q175443,Social Democratic and Labour Party,4268,Q3586935,General election 2015,4
,Yvonne Boyle,Q244927,Alliance Party of Northern Ireland,2642,Q3586935,General election 2015,5
,Neil Paine,Q19903723,Cannabis Is Safer Than Alcohol,527,Q3586935,General election 2015,6
,Liz St Clair-Legge,Q7058484,Northern Ireland Conservatives,422,Q3586935,General election 2015,7
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,12097,Q215622,General election 2010,1
Q5052072,Cathal Ó hOisín,Q76382,Sinn Féin,6742,Q215622,General election 2010,2
,Lesley Macaulay,Q7879942,Ulster Conservatives and Unionists,6218,Q215622,General election 2010,3
,Thomas Conway,Q175443,Social Democratic and Labour Party,5399,Q215622,General election 2010,4
Q16104546,William Ross,Q985076,Traditional Unionist Voice,2572,Q215622,General election 2010,5
,Barney Fitzpatrick,Q244927,Alliance Party of Northern Ireland,1922,Q215622,General election 2010,6
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,15225,Q428598,General election 2005,1
Q5237292,David McClarty,Q841045,Ulster Unionist Party,7498,Q428598,General election 2005,2
Q6228425,John Dallat,Q175443,Social Democratic and Labour Party,6077,Q428598,General election 2005,3
Q4912895,Billy Leonard,Q76382,Sinn Féin,5709,Q428598,General election 2005,4
,Yvonne Boyle,Q244927,Alliance Party of Northern Ireland,924,Q428598,General election 2005,5
,Malcolm Harry Samuel,Q327591,Independent (politician),71,Q428598,General election 2005,6
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,12813,Q590740,General election 2001,1
Q16104546,William Ross,Q841045,Ulster Unionist Party,10912,Q590740,General election 2001,2
Q6228425,John Dallat,Q175443,Social Democratic and Labour Party,8298,Q590740,General election 2001,3
Q16114174,Francie Brolly,Q76382,Sinn Féin,6221,Q590740,General election 2001,4
,Yvonne Boyle,Q244927,Alliance Party of Northern Ireland,1625,Q590740,General election 2001,5
Q16104546,William Ross,Q841045,Ulster Unionist Party,13558,Q918503,General election 1997,1
Q268465,Gregory Campbell,Q215519,Democratic Unionist Party,9767,Q918503,General election 1997,2
Q4798477,Arthur Doherty,Q175443,Social Democratic and Labour Party,8273,Q918503,General election 1997,3
,Malachy O'Kane,Q76382,Sinn Féin,3463,Q918503,General election 1997,4
,Yvonne Boyle,Q244927,Alliance Party of Northern Ireland,2427,Q918503,General election 1997,5
,James Holmes,Q7058484,Northern Ireland Conservatives,436,Q918503,General election 1997,6
,Clare Gallen,Q491782,Natural Law Party,100,Q918503,General election 1997,7
Q5980768,Ian Anderson,Q6972258,National Democrats (UK),81,Q918503,General election 1997,8
Q16104546,William Ross,Q841045,Ulster Unionist Party,30370,Q543609,General election 1992,1
Q4798477,Arthur Doherty,Q175443,Social Democratic and Labour Party,11843,Q543609,General election 1992,2
,Pauline Davey-Kennedy,Q76382,Sinn Féin,5320,Q543609,General election 1992,3
,Patrick McGowan,Q244927,Alliance Party of Northern Ireland,3613,Q543609,General election 1992,4
,Allan Elder,Q7058484,Northern Ireland Conservatives,1589,Q543609,General election 1992,5
Q16104546,William Ross,Q841045,Ulster Unionist Party,29532,Q918472,General election 1987,1
Q4798477,Arthur Doherty,Q175443,Social Democratic and Labour Party,9375,Q918472,General election 1987,2
,John Davey,Q76382,Sinn Féin,5464,Q918472,General election 1987,3
,Patrick McGowan,Q244927,Alliance Party of Northern Ireland,3237,Q918472,General election 1987,4
,Francie Donnelly,Q1860218,Workers' Party of Ireland,935,Q918472,General election 1987,5
,Malcolm Samuel,Q3499324,Green Party (UK),281,Q918472,General election 1987,6
Q16104546,William Ross,Q841045,Ulster Unionist Party,30922,Q20979154,By-election 1986,1
Q2073804,Peter Barry,Q2708643,Anglo-Irish Agreement,2001,Q20979154,By-election 1986,2
Q16104546,William Ross,Q841045,Ulster Unionist Party,19469,Q918466,General election 1983,1
Q6139207,James McClure,Q215519,Democratic Unionist Party,12207,Q918466,General election 1983,2
Q4798477,Arthur Doherty,Q175443,Social Democratic and Labour Party,9397,Q918466,General election 1983,3
,John Davey,Q76382,Sinn Féin,7073,Q918466,General election 1983,4
,Martha McGrath,Q244927,Alliance Party of Northern Ireland,2401,Q918466,General election 1983,5
,Francie Donnelly,Q1860218,Workers' Party of Ireland,819,Q918466,General election 1983,6
